round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9124,0.33068736073970795,3,2,123586.41607363995,14398584,23.20797324180603
2,0.9276,0.24295816504955292,2,3,123543.72862209535,9599056,20.07836151123047
3,0.9364,0.20331531306654216,2,3,123551.27099186719,9599056,21.753892421722412
4,0.9412,0.1862456210978329,1,4,123543.12916272393,4799528,19.50924849510193
5,0.9412,0.1862456210978329,0,5,123543.12916272393,0,20.37755584716797
6,0.9555,0.14962657138779759,1,4,123532.708854173,4799528,20.94123673439026
7,0.9644,0.12159359846897423,3,2,123484.88451951947,14398584,20.231411933898926
8,0.9633,0.11969609438963234,1,4,123469.11777676761,4799528,19.34800672531128
9,0.9704,0.09829711662195623,2,3,123481.68704473386,9599056,21.343961000442505
10,0.9704,0.09151158791743219,1,4,123465.91061621947,4799528,19.207714557647705
11,0.9746,0.08412494104886427,1,4,123464.94756461146,4799528,20.266193151474
12,0.9771,0.07340971298133954,2,3,123485.17115770631,9599056,19.6508309841156
13,0.9776,0.0672532642910257,3,2,123495.92523886242,14398584,21.364793062210083
14,0.9789,0.06401582202939317,2,3,123497.82049144722,9599056,20.756826162338257
15,0.9807,0.05960244167656638,5,0,123496.69969900355,23997640,21.649381637573242
16,0.9812,0.056353544749692085,4,1,123500.87221056008,19198112,20.94362187385559
17,0.9788,0.06675172702623532,1,4,123501.2209507566,4799528,21.77153778076172
18,0.9817,0.05512005424448289,1,4,123514.89586397697,4799528,19.467581033706665
19,0.9817,0.05512005424448289,0,5,123514.89586397697,0,20.115975618362427
20,0.9837,0.05005344022926875,2,3,123510.05372212945,9599056,19.316850185394287
