round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9142,0.330507724738121,3,2,31117.95521080484,14398584,27.19219970703125
2,0.9272,0.2424642767727375,3,2,31084.03801957515,14398584,23.695369720458984
3,0.9435,0.19313484057486058,3,2,31072.36722211034,14398584,23.25369954109192
4,0.9487,0.16476611679941416,2,3,31062.133035214887,9599056,23.180858850479126
5,0.9591,0.14268146227747203,2,3,31063.487674119457,9599056,23.340728759765625
6,0.9636,0.12171340125948191,4,1,31075.056721172816,19198112,23.027519941329956
7,0.9659,0.11274364529550075,2,3,31072.466341988864,9599056,23.18120002746582
8,0.9718,0.09483327066116035,4,1,31083.302009156992,19198112,23.37619423866272
9,0.9729,0.08803305788077415,2,3,31080.065636658044,9599056,23.219618558883667
10,0.9758,0.07988044582828879,3,2,31082.800395245165,14398584,22.63380718231201
11,0.9774,0.07457523485217243,3,2,31082.42431348713,14398584,23.266939640045166
12,0.9781,0.06764265991039574,4,1,31078.676604111246,19198112,23.407832384109497
13,0.9797,0.06261494147907942,3,2,31079.17469654538,14398584,22.943108081817627
14,0.9809,0.05990056105912663,3,2,31075.199573826685,14398584,23.82945489883423
15,0.9823,0.05683788060972001,4,1,31074.023233122796,19198112,23.5353045463562
16,0.9824,0.05513169560544193,4,1,31072.69981559684,19198112,23.23418879508972
17,0.9839,0.0509034243427217,4,1,31074.875335994137,19198112,25.261678457260132
18,0.9827,0.04949190900987014,5,0,31071.868406237343,23997640,25.83970355987549
19,0.984,0.04679296417362057,3,2,31071.492934781625,14398584,25.870460748672485
20,0.9851,0.04488364578790497,3,2,31069.64305831412,14398584,25.533339500427246
