round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9167,0.2960469481885433,4,1,123534.24849876166,19198112,22.716106176376343
2,0.8981,0.32299975215792653,1,4,123553.65106983068,4799528,20.54317045211792
3,0.9448,0.18710690776109695,1,4,123582.93358561436,4799528,20.416549921035767
4,0.9594,0.13796042180880905,3,2,123574.88056408946,14398584,21.92638635635376
5,0.9671,0.11380555447787047,3,2,123531.77018426037,14398584,22.16546058654785
6,0.9662,0.1109316328883171,1,4,123496.95353572736,4799528,21.33104157447815
7,0.9734,0.09335086496248841,2,3,123493.52414370481,9599056,22.121305465698242
8,0.9741,0.08629614472799003,1,4,123504.3596379682,4799528,20.103172302246094
9,0.9761,0.0780286727450788,2,3,123497.23516015333,9599056,21.94357919692993
10,0.9768,0.07282501923982054,2,3,123513.97516330522,9599056,21.4963960647583
11,0.9792,0.06547009858740493,3,2,123488.13359062151,14398584,21.87499737739563
12,0.9798,0.060959170548152176,2,3,123471.04795156432,9599056,20.090660572052002
13,0.9824,0.05588297565197572,4,1,123471.52636372054,19198112,22.242517709732056
14,0.9819,0.05739141419986263,1,4,123468.1701460944,4799528,21.500256538391113
15,0.9824,0.05483918622368947,3,2,123462.93806757344,14398584,21.570162296295166
16,0.9833,0.05216068439104129,2,3,123449.9465508909,9599056,20.253127574920654
17,0.984,0.047620353916310705,2,3,123452.12498296895,9599056,22.060399770736694
18,0.984,0.047620353916310705,0,5,123452.12498296895,0,20.466352224349976
19,0.9834,0.04836772257166449,2,3,123457.80475742384,9599056,21.664957523345947
20,0.9835,0.050471442178019785,1,4,123450.71286575194,4799528,20.60447120666504
