round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9111,0.3175250611305237,5,0,368.99562575720176,23997640,22.880088329315186
2,0.9362,0.23076817806065084,5,0,368.84864498238176,23997640,21.265827655792236
3,0.9472,0.17950451774299145,5,0,369.05133076393565,23997640,21.469862461090088
4,0.955,0.15381062388643624,5,0,369.0412827436441,23997640,21.589947938919067
5,0.9601,0.12877984218746424,5,0,368.9874119631633,23997640,21.469172716140747
6,0.9654,0.11555262653231621,5,0,369.09409992344706,23997640,21.252624988555908
7,0.9694,0.10145577062219381,5,0,369.128312708932,23997640,20.703041553497314
8,0.9723,0.09160082979928702,5,0,369.12059082457273,23997640,21.497364282608032
9,0.9747,0.08167516852039844,5,0,369.1387589103343,23997640,20.688591480255127
10,0.9763,0.07402655473630876,5,0,369.1147009762386,23997640,21.879037141799927
11,0.9777,0.06866851969817653,5,0,369.1363292259279,23997640,20.73154354095459
12,0.9792,0.0630740055688657,5,0,369.1158887127171,23997640,21.577195405960083
13,0.9807,0.060141041600704194,5,0,369.0848705630148,23997640,20.485530853271484
14,0.9805,0.05807460599858314,5,0,369.1173757600783,23997640,21.21861958503723
15,0.9822,0.05300816776789725,5,0,369.0736734691961,23997640,20.129435539245605
16,0.9823,0.05188475782638416,5,0,369.11066127230526,23997640,21.101665258407593
17,0.9833,0.04989451546701602,5,0,369.1047345304359,23997640,20.209430932998657
18,0.9838,0.0475349653114099,5,0,369.1273353740329,23997640,21.034387826919556
19,0.9842,0.045563548290426845,5,0,369.1553783959439,23997640,20.062058210372925
20,0.9853,0.04442596605177969,5,0,369.1687698428402,23997640,22.639176607131958
