round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9125,0.3213215525150299,2,3,123317.9891039699,9599056,23.15673279762268
2,0.9312,0.23684413684159517,3,2,123344.95596097414,14398584,23.69095540046692
3,0.9429,0.19339986075013876,3,2,123389.57464690949,14398584,22.886332273483276
4,0.9459,0.1742061327971518,3,2,123402.91142205437,14398584,23.44401502609253
5,0.9526,0.15624577952846885,2,3,123411.3073857882,9599056,21.48826003074646
6,0.9552,0.14153995038680733,2,3,123451.2782859655,9599056,23.606947898864746
7,0.9621,0.12388515218831599,2,3,123444.39391850965,9599056,22.659783124923706
8,0.9641,0.11462325769178569,2,3,123445.19524353818,9599056,22.61644673347473
9,0.9674,0.10244416850619018,2,3,123423.92292849283,9599056,21.22806191444397
10,0.9693,0.09711866489574313,2,3,123430.12591903677,9599056,21.299840688705444
11,0.9743,0.08276627797596156,3,2,123460.88254795293,14398584,21.138712406158447
12,0.9751,0.07701615048767999,3,2,123449.04583008861,14398584,22.32551407814026
13,0.972,0.08551171944309026,1,4,123449.20243779542,4799528,20.621274709701538
14,0.9752,0.07397738477746024,1,4,123452.82829600597,4799528,21.615769386291504
15,0.9752,0.07397738477746024,0,5,123452.82829600597,0,20.48636794090271
16,0.9798,0.06328318210849539,3,2,123438.72782405923,14398584,21.661231994628906
17,0.9807,0.0578085228607757,3,2,123437.62241733122,14398584,22.38230848312378
18,0.9813,0.0564357278076699,4,1,123449.64542494799,19198112,22.498976469039917
19,0.9826,0.05420752743659541,3,2,123445.31130516357,14398584,22.202742338180542
20,0.9831,0.05279842389493715,3,2,123441.40338135976,14398584,21.60481595993042
