round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.906,0.31706813608407974,2,3,31028.70112794981,9599056,42.435835123062134
2,0.9349,0.22531590249538422,3,2,31082.94177584159,14398584,43.08360719680786
3,0.945,0.18509019475877286,4,1,31071.34889729969,19198112,44.04948616027832
4,0.9529,0.1605273897781968,4,1,31079.888222056114,19198112,43.997955083847046
5,0.9576,0.14601841617822647,2,3,31083.983388758763,9599056,42.65418291091919
6,0.9666,0.11670525488518178,4,1,31082.214247207776,19198112,42.84460687637329
7,0.9681,0.10570168989598751,3,2,31075.988265121603,14398584,42.070683002471924
8,0.9721,0.09315565113909542,3,2,31085.406146574962,14398584,41.65574288368225
9,0.9745,0.08403037436120211,5,0,31073.177862365315,23997640,42.733410120010376
10,0.9747,0.07972044461630284,3,2,31066.968575922878,14398584,43.02274680137634
11,0.9769,0.07188423904525117,3,2,31070.320275285765,14398584,41.62067985534668
12,0.9782,0.07153096687849611,2,3,31068.068561092074,9599056,41.81299805641174
13,0.9783,0.06635821146788076,2,3,31069.42031533221,9599056,42.495399951934814
14,0.9793,0.06166420160746202,3,2,31067.135919991157,14398584,42.53949785232544
15,0.9807,0.05815777772432193,4,1,31064.496344594616,19198112,42.347177028656006
16,0.9824,0.054474207300646234,4,1,31067.88362309889,19198112,42.899129152297974
17,0.9824,0.054474207300646234,0,5,31067.88362309889,0,42.07214093208313
18,0.9822,0.05508703275131993,2,3,31067.227647481795,9599056,41.37397503852844
19,0.982,0.05691284734737128,1,4,31066.99321205171,4799528,42.57662391662598
20,0.9845,0.04773865287005901,5,0,31060.43870321908,23997640,43.090900897979736
