round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9091,0.318811144053936,3,2,31084.867491742956,14398584,20.8708598613739
2,0.9286,0.23790573608279228,3,2,31086.242706076675,14398584,20.529796838760376
3,0.943,0.18450305088758467,5,0,31071.215506823617,23997640,20.262309312820435
4,0.9528,0.16182818262577056,5,0,31067.370404693622,23997640,20.850648403167725
5,0.957,0.14144108740091324,4,1,31064.495346130705,19198112,20.049115657806396
6,0.9646,0.12287259447239339,5,0,31063.54920564096,23997640,20.84089732170105
7,0.9656,0.1145625536525622,3,2,31061.156112876142,14398584,20.067769289016724
8,0.9705,0.09705460960641503,4,1,31061.431961403647,19198112,21.08156156539917
9,0.9717,0.09060807847119867,3,2,31066.872560296382,14398584,19.94847846031189
10,0.9755,0.07835486221406608,5,0,31065.54589380601,23997640,20.995169401168823
11,0.9767,0.07202232707031071,5,0,31060.510168755845,23997640,20.2136492729187
12,0.9778,0.06798385651772842,5,0,31052.63411015653,23997640,21.040172338485718
13,0.9802,0.06261147993761115,5,0,31056.0405558176,23997640,20.367016792297363
14,0.9808,0.05785852875309065,4,1,31058.54882911815,19198112,20.73166823387146
15,0.9822,0.05569655425818637,3,2,31059.442300821243,14398584,19.401556253433228
16,0.9829,0.05206833303719759,4,1,31061.09759552445,19198112,20.743312120437622
17,0.983,0.05074922733961139,3,2,31061.916209773484,14398584,19.924611568450928
18,0.9842,0.047969005368091164,3,2,31062.864379694063,14398584,20.52321767807007
19,0.9839,0.04668634539173217,5,0,31061.854835186445,23997640,20.16181969642639
20,0.9846,0.04541315404588822,4,1,31062.363028284744,19198112,20.791196584701538
