round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9101,0.3215530662059784,5,0,31042.326436693336,23997640,26.48028063774109
2,0.9346,0.22626607618927955,5,0,31063.683710761816,23997640,22.308499574661255
3,0.9449,0.18581998380869627,4,1,31033.451326454717,19198112,21.93545699119568
4,0.9528,0.15726915436163544,4,1,31035.008036996278,19198112,22.547948598861694
5,0.9607,0.1329774210713804,3,2,31032.03233230402,14398584,22.688828706741333
6,0.9662,0.11671254012882709,4,1,31022.680495617435,19198112,21.785611867904663
7,0.9676,0.1064559725318104,2,3,31031.32961740825,9599056,21.945179224014282
8,0.9711,0.09152514269202948,4,1,31036.48877527421,19198112,22.60541081428528
9,0.9742,0.08298896605335176,4,1,31035.781517394447,19198112,22.315563917160034
10,0.9769,0.07410571566764265,5,0,31038.143869252213,23997640,22.149186611175537
11,0.9789,0.0700081883193925,4,1,31039.11316620884,19198112,22.391852617263794
12,0.9792,0.06518767557162791,4,1,31042.494004259574,19198112,22.44210982322693
13,0.98,0.059363294823188334,3,2,31042.025682449756,14398584,22.63581395149231
14,0.9823,0.059100113260746004,2,3,31044.018120336415,9599056,21.858961820602417
15,0.9813,0.05520408605397679,3,2,31045.123104333685,14398584,22.359031915664673
16,0.9828,0.05232267783908173,2,3,31047.246198797096,9599056,22.685234546661377
17,0.9833,0.04989938298757188,3,2,31052.027268616705,14398584,22.79203462600708
18,0.9844,0.047883682643645446,3,2,31051.098169216693,14398584,22.488829612731934
19,0.9843,0.046619608124624935,3,2,31050.293081044605,14398584,21.20510244369507
20,0.9845,0.045154396123450714,3,2,31052.9373715471,14398584,22.49132227897644
