round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9134,0.31454355796575545,5,0,4434.523096277603,23997640,21.465099573135376
2,0.9345,0.2260582196086645,4,1,4441.423320089228,19198112,21.36937952041626
3,0.9468,0.17712976987808943,5,0,4445.06827268567,23997640,20.956676244735718
4,0.9558,0.14970595060661435,5,0,4448.59923180131,23997640,21.213330507278442
5,0.9614,0.12469570891186595,4,1,4447.223336926852,19198112,20.30398416519165
6,0.9704,0.10602313128374517,5,0,4445.395062892034,23997640,21.048291206359863
7,0.9718,0.09386021653078497,4,1,4445.883804409419,19198112,20.546257257461548
8,0.9745,0.08322582637667655,5,0,4444.858348737479,23997640,20.866453886032104
9,0.9751,0.07634543772470206,5,0,4444.274837658443,23997640,19.84538769721985
10,0.9772,0.06929377328436821,5,0,4444.329771977939,23997640,21.22132921218872
11,0.9793,0.06448191029522568,4,1,4444.042134968364,19198112,20.20421600341797
12,0.9811,0.06012140345610678,4,1,4444.759888537933,19198112,21.638125896453857
13,0.9814,0.056614893102366476,3,2,4444.884655956287,14398584,20.36138105392456
14,0.9822,0.05405411914582364,3,2,4445.199800954744,14398584,21.4987895488739
15,0.984,0.05056143270973116,5,0,4445.635494165075,23997640,20.34614658355713
16,0.9839,0.04931384089542553,4,1,4444.918329272012,19198112,21.233383893966675
17,0.9843,0.047842878901795484,5,0,4445.256286323072,23997640,20.39639139175415
18,0.9853,0.04519146939145867,4,1,4445.168800637862,19198112,21.34781551361084
19,0.9852,0.044789909620431716,5,0,4445.125292856977,23997640,20.046072244644165
20,0.9853,0.04192609022071119,5,0,4445.406939948004,23997640,20.86963939666748
