round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.65,0.9088991823196411,4,1,31116.349475159237,19198112,16.09800672531128
2,0.8649,0.4303498272180557,3,2,31132.152952947148,14398584,16.15676188468933
3,0.9107,0.28828392590284346,4,1,31087.36660158548,19198112,24.941883087158203
4,0.9405,0.20445765562057494,5,0,31096.25916375249,23997640,19.74108576774597
5,0.9382,0.21161960105299948,4,1,31081.38747525616,19198112,19.54627799987793
6,0.9023,0.28169733357429505,2,3,31077.58300281314,9599056,18.896281242370605
7,0.9419,0.18041784559339286,5,0,31084.679934914668,23997640,18.423019886016846
8,0.9247,0.22262777065336703,5,0,31084.631420405534,23997640,16.4087655544281
9,0.9462,0.1697521335914731,3,2,31078.48904698909,14398584,17.843081951141357
10,0.952,0.15354449335932732,3,2,31070.359769224466,14398584,22.568692684173584
11,0.9556,0.14079117089882492,4,1,31073.42026739213,19198112,26.88378143310547
12,0.967,0.11008147773407399,5,0,31076.681125767966,23997640,16.822200059890747
13,0.9721,0.09534727338887751,5,0,31072.32972006826,23997640,24.026450157165527
14,0.9735,0.08454093249645084,3,2,31075.43503442799,14398584,16.748158931732178
15,0.934,0.20993655180297793,1,4,31073.533149610852,4799528,23.834691286087036
16,0.9723,0.0932829341288656,3,2,31073.384589045043,14398584,22.832489728927612
17,0.963,0.12389978769272565,2,3,31072.886209520308,9599056,23.3885498046875
18,0.9777,0.07733472408922389,3,2,31070.649353621,14398584,30.937005043029785
19,0.9753,0.0813934065709822,3,2,31069.245937352967,14398584,15.240491151809692
20,0.981,0.06015272518955171,5,0,31066.861310134824,23997640,21.852300882339478
